,index,title,author,year,title_authors
746,746,"MySQL, Second Edition (Visual QuickStart Guide)",Larry Ullman,2006,"MySQL, Second Edition (Visual QuickStart Guide)Larry Ullman"
747,747,Hi Ho Librario!,Judy Freeman,1997,Hi Ho Librario!Judy Freeman
748,748,Autonomous Grouping of Contour-Segments Using an Adaptive Region-Growing Algorithm,"E. J. Pauwels,P. Fiddelaers,L. J. Van Gool",1996,"Autonomous Grouping of Contour-Segments Using an Adaptive Region-Growing AlgorithmE. J. Pauwels,P. Fiddelaers,L. J. Van Gool"
749,749,Rapid Prototyping of Digital Systems: Quartus® II Edition,"James O. Hamblen,Tyson S. Hall,Michael D. Furman",2005,"Rapid Prototyping of Digital Systems: Quartus® II EditionJames O. Hamblen,Tyson S. Hall,Michael D. Furman"
750,750,Excel 2003 (La Biblia De / the Bible of),Patrick Blattner,2005,Excel 2003 (La Biblia De / the Bible of)Patrick Blattner
751,751,3D discrete skeleton generation by wave propagation on PR-octree for finite element mesh sizing,"W. R. Quadros,K. Shimada,S. J. Owen",2004,"3D discrete skeleton generation by wave propagation on PR-octree for finite element mesh sizingW. R. Quadros,K. Shimada,S. J. Owen"
752,752,Versus Books Official Perfect Guide for Grandia Xtreme,,2002,
753,753,Development of a runtime infrastructure for large-scale distributed simulations,"Buquan Liu,Yiping Yao,Jing Tao,Huaimin Wang",2006,"Development of a runtime infrastructure for large-scale distributed simulationsBuquan Liu,Yiping Yao,Jing Tao,Huaimin Wang"
754,754,Algorithms and Complexity in Durham 2006: Proceedings of the Second ACiD Workshop,"H. Broersma,S. Dantchev,M. Johnson",2006,"Algorithms and Complexity in Durham 2006: Proceedings of the Second ACiD WorkshopH. Broersma,S. Dantchev,M. Johnson"
755,755,GarageBand: The Missing Manual (Missing Manuals),David Pogue,2004,GarageBand: The Missing Manual (Missing Manuals)David Pogue
756,756,USA (World in Focus),Sally Garrington,2006,USA (World in Focus)Sally Garrington
757,757,"Digitale Bildauflösung: Grundlagen, Auflösungsbestimmung, Anwendungsbeispiele (X.Media.Press)",Thomas Waldraff,2006,"Digitale Bildauflösung: Grundlagen, Auflösungsbestimmung, Anwendungsbeispiele (X.Media.Press)Thomas Waldraff"
758,758,Elsevier's Dictionary of Aquaculture,Cheryl E. Marx,1997,Elsevier's Dictionary of AquacultureCheryl E. Marx
759,759,Secure Electronic Commerce: Custom Vc Online,"Ford,Baum",2006,"Secure Electronic Commerce: Custom Vc OnlineFord,Baum"
760,760,Transactions on Computational Systems Biology V (Lecture Notes in Computer Science),"Tony Hu,Yi Pan,Tsau Young Lin,C. Priami",2006,"Transactions on Computational Systems Biology V (Lecture Notes in Computer Science)Tony Hu,Yi Pan,Tsau Young Lin,C. Priami"
761,761,The Pocket Idiot's Guide to Satellite Radio (The Complete Idiot's Guide),Damon Brown,2006,The Pocket Idiot's Guide to Satellite Radio (The Complete Idiot's Guide)Damon Brown
762,762,"Practice of Business Statistics w/CD, & Excel Manual w/CD",David S. Moore,2004,"Practice of Business Statistics w/CD, & Excel Manual w/CDDavid S. Moore"
763,763,ADO.NET 2.0 Cookbook (Cookbooks (O'Reilly)),Bill Hamilton,2007,ADO.NET 2.0 Cookbook (Cookbooks (O'Reilly))Bill Hamilton
764,764,XQuery,Priscilla Walmsley,2007,XQueryPriscilla Walmsley
765,765,"Aprendiendo PC Office Total: Curso Completo de Microsoft Office XP, en Español / Spanish",M. P. Ediciones,2004,"Aprendiendo PC Office Total: Curso Completo de Microsoft Office XP, en Español / SpanishM. P. Ediciones"
766,766,Introducing Maya 6: 3D for Beginners,Dariush Derakhshani,2004,Introducing Maya 6: 3D for BeginnersDariush Derakhshani
767,767,"Wired/Wireless Internet Communications: 4th International Conference, WWIC 2006, Bern, Switzerland, May 10-12, 2006, Proceedings (Lecture Notes in Computer Science)","Thomas Braun,Georg Carle,Sonia Fahmy,Yevgeni Koucheryavy",2006,"Wired/Wireless Internet Communications: 4th International Conference, WWIC 2006, Bern, Switzerland, May 10-12, 2006, Proceedings (Lecture Notes in Computer Science)Thomas Braun,Georg Carle,Sonia Fahmy,Yevgeni Koucheryavy"
768,768,Multi-path TCP: a joint congestion control and routing scheme to exploit path diversity in the internet,"Huaizhong Han,Srinivas Shakkottai,C. V. Hollot,R. Srikant,Don Towsley",2006,"Multi-path TCP: a joint congestion control and routing scheme to exploit path diversity in the internetHuaizhong Han,Srinivas Shakkottai,C. V. Hollot,R. Srikant,Don Towsley"
769,769,Unreal Tournament: Official Strategy Guide,,1999,
770,770,Virtual Enterprises and Collaborative Networks (IFIP International Federation for Information Processing),Luis M. Camarinha-Matos,2004,Virtual Enterprises and Collaborative Networks (IFIP International Federation for Information Processing)Luis M. Camarinha-Matos
771,771,Photoshop 6 (Diseno Y Creatividad),,2005,
772,772,Medieval II: Total War Official Strategy Guide (Official Strategy Guides (Bradygames)),,2006,
773,773,Information Security Fundamentals On-line Self-study Course,"Thomas R. Peltier,Justin Peltier,John A. Blackley",2005,"Information Security Fundamentals On-line Self-study CourseThomas R. Peltier,Justin Peltier,John A. Blackley"
774,774,Solaris 10 System Administration,Bill Calkins,2006,Solaris 10 System AdministrationBill Calkins
775,775,"Programming Languages and Systems: 4th Asian Symposium, APLAS 2006, Sydney, Australia, November 8-10, 2006, Proceedings (Lecture Notes in Computer Science)",Naoki Kobayashi,2006,"Programming Languages and Systems: 4th Asian Symposium, APLAS 2006, Sydney, Australia, November 8-10, 2006, Proceedings (Lecture Notes in Computer Science)Naoki Kobayashi"
776,776,Metrics for evaluating human information interaction systems,Jean Scholtz,2006,Metrics for evaluating human information interaction systemsJean Scholtz
777,777,AutoCAD 2006-2007 - Avanzado,Jose Antonio Tajadura Zapirain,2006,AutoCAD 2006-2007 - AvanzadoJose Antonio Tajadura Zapirain
778,778,An independent component analysis-based filter design for defect detection in low-contrast surface images,"Du-Ming Tsai,Ping-Chieh Lin,Chi-Jie Lu",2006,"An independent component analysis-based filter design for defect detection in low-contrast surface imagesDu-Ming Tsai,Ping-Chieh Lin,Chi-Jie Lu"
779,779,"StataQuest, Release 2","Theodore J. Anagnoson,Richard E. Deleon",1994,"StataQuest, Release 2Theodore J. Anagnoson,Richard E. Deleon"
780,780,"Networks: Internet, Telephony, Multimedia","Daniel Hardy,Guy Malleus,Jean-Noel Mereur",2003,"Networks: Internet, Telephony, MultimediaDaniel Hardy,Guy Malleus,Jean-Noel Mereur"
781,781,"Multimedia Signal Processing: Theory and Applications in Speech, Music and Communications",Saeed V. Vaseghi,2007,"Multimedia Signal Processing: Theory and Applications in Speech, Music and CommunicationsSaeed V. Vaseghi"
782,782,"Oracle Database 10g Express Edition PHP Web Programming, 1 edition",Michael McLaughlin,2006,"Oracle Database 10g Express Edition PHP Web Programming, 1 editionMichael McLaughlin"
783,783,A Roadmap for Formal Property Verification,Pallab Dasgupta,2006,A Roadmap for Formal Property VerificationPallab Dasgupta
784,784,Digimon World (UK),,2001,
785,785,Faith Under Fire 2 Faith & Facts Participant's Guide (ZondervanGroupware Small Group Edition),"Lee Strobel,Garry Poole",2006,"Faith Under Fire 2 Faith & Facts Participant's Guide (ZondervanGroupware Small Group Edition)Lee Strobel,Garry Poole"
786,786,Visual Web Developer 2005 Express Edition Fur Dummies (Fur Dummies S.),"Alan Simpson,Meinhard Schmidt",2006,"Visual Web Developer 2005 Express Edition Fur Dummies (Fur Dummies S.)Alan Simpson,Meinhard Schmidt"
787,787,Mixed-Signal Simulation with the Simbus Backplane,"Douglas R. Hickey,Philip A. Wilsey,Robert J. Hoekstra,Eric R. Keiter,Scott A. Hutchinson,Thomas V. Russo",2006,"Mixed-Signal Simulation with the Simbus BackplaneDouglas R. Hickey,Philip A. Wilsey,Robert J. Hoekstra,Eric R. Keiter,Scott A. Hutchinson,Thomas V. Russo"
788,788,Wireless Mesh Networks (Advanced Texts in Communications and Networking),"Ian Akyildiz,Xudong Wang",2007,"Wireless Mesh Networks (Advanced Texts in Communications and Networking)Ian Akyildiz,Xudong Wang"
789,789,"Formal Methods for Components and Objects: 4th International Symposium, FMCO 2005, Amsterdam, The Netherlands, November 1-4, 2005, Revised Lectures (Lecture Notes in Computer Science)","Frank S. de Boer,Marcello M. Bonsangue,Susanne Graf,Willem-Paul de Roever",2006,"Formal Methods for Components and Objects: 4th International Symposium, FMCO 2005, Amsterdam, The Netherlands, November 1-4, 2005, Revised Lectures (Lecture Notes in Computer Science)Frank S. de Boer,Marcello M. Bonsangue,Susanne Graf,Willem-Paul de Roever"
790,790,Manipula Tus Fotografias Digitales Con Photoshop Cs2/ the Photoshop Cs2 Book for Digital Photographers,Scott Kelby,2005,Manipula Tus Fotografias Digitales Con Photoshop Cs2/ the Photoshop Cs2 Book for Digital PhotographersScott Kelby
791,791,Rejection strategies for offline handwritten text line recognition,"Roman Bertolami,Matthias Zimmermann,Horst Bunke",2006,"Rejection strategies for offline handwritten text line recognitionRoman Bertolami,Matthias Zimmermann,Horst Bunke"
792,792,Silent Hill 4: The Room Official Strategy Guide (Signature),,2004,
793,793,Spatial join techniques,"Edwin H. Jacox,Hanan Samet",2007,"Spatial join techniquesEdwin H. Jacox,Hanan Samet"
794,794,Nintendo GameCube Collection: Luigi's Mansion / Super Smash Bros. Melee / Wave Race Blue Storm / Pikmin (Prima's Official Strategy Guide),David Cassady,2002,Nintendo GameCube Collection: Luigi's Mansion / Super Smash Bros. Melee / Wave Race Blue Storm / Pikmin (Prima's Official Strategy Guide)David Cassady
795,795,Dominando Linux Firewall Iptables,Urubatan Neto,2004,Dominando Linux Firewall IptablesUrubatan Neto
796,796,"Parallel Processing and Applied Mathematics: 5th International Conference, PPAM 2003, Czestochowa, Poland, September 7-10, 2003. Revised Papers (Lecture Notes in Computer Science)","Roman Wyrzykowski,Jack Dongarra,Marcin Paprzycki,Jerzy Wasniewski",2004,"Parallel Processing and Applied Mathematics: 5th International Conference, PPAM 2003, Czestochowa, Poland, September 7-10, 2003. Revised Papers (Lecture Notes in Computer Science)Roman Wyrzykowski,Jack Dongarra,Marcin Paprzycki,Jerzy Wasniewski"
797,797,A level set approach to simulate magnetohydrodynamic-instabilities in aluminum reduction cells,"David Munger,Alain Vincent",2006,"A level set approach to simulate magnetohydrodynamic-instabilities in aluminum reduction cellsDavid Munger,Alain Vincent"
798,798,Simulation of job scheduling for small scale clusters,"Hassan Rajaei,Mohammad Dadfar,Pankaj Joshi",2006,"Simulation of job scheduling for small scale clustersHassan Rajaei,Mohammad Dadfar,Pankaj Joshi"
799,799,Writing computer-based instruction with HyperStudio,William R. Higgins,1998,Writing computer-based instruction with HyperStudioWilliam R. Higgins
800,800,"Holy Macro! It's 2,500 Excel VBA Examples: Every Snippet of Excel VBA Code You'll Ever Need","Hans Herber,Bill Jelen,Tom Urtis",2006,"Holy Macro! It's 2,500 Excel VBA Examples: Every Snippet of Excel VBA Code You'll Ever NeedHans Herber,Bill Jelen,Tom Urtis"
801,801,CCIE Practical Studies: Security (CCIE Self-Study),"Dmitry Bokotey,Andrew Mason,Raymond Morrow",2003,"CCIE Practical Studies: Security (CCIE Self-Study)Dmitry Bokotey,Andrew Mason,Raymond Morrow"
802,802,PMP Exam Success Series: Certification Study Pack (3rd Ed. PMBOK Guide Based),Tony Johnson,2005,PMP Exam Success Series: Certification Study Pack (3rd Ed. PMBOK Guide Based)Tony Johnson
803,803,Design approach to implement implicit traffic in a simulation environment,"Charles A. Brooks,Aaron Chesir,Erica Lindy,Jon A. McConnell,Monica Farah-Stapleton",2006,"Design approach to implement implicit traffic in a simulation environmentCharles A. Brooks,Aaron Chesir,Erica Lindy,Jon A. McConnell,Monica Farah-Stapleton"
804,804,"Windows XP, Brief Volume (SELECT Series)",Richard A. McMahon,2002,"Windows XP, Brief Volume (SELECT Series)Richard A. McMahon"
805,805,"The Official eBaby Bible, Third Edition: The Newly Revised and Updated Version of the Most Comprehensive eBay How-To Manual for Everyone from First-Time Users to eBay Experts",Jim Griffith,2007,"The Official eBaby Bible, Third Edition: The Newly Revised and Updated Version of the Most Comprehensive eBay How-To Manual for Everyone from First-Time Users to eBay ExpertsJim Griffith"
806,806,IBM System Z9 109 Configuration Setup,,2006,
807,807,A life with computers,J. Richard Swenson,2006,A life with computersJ. Richard Swenson
808,808,System Analyst and Design with Uml with Visible an Alyst and Microsoft Project 2002 Set,,2003,
809,809,Exploring Microsoft Office 2003 Enhanced Edition- Adhesive,"Robert T. Grauer,Maryann Barber",2005,"Exploring Microsoft Office 2003 Enhanced Edition- AdhesiveRobert T. Grauer,Maryann Barber"
810,810,Appleworkshop for Teachers,Janet Caughlin,2001,Appleworkshop for TeachersJanet Caughlin
811,811,Video Production Workshop: DMA Series (DV Expert Series),Tom Wolsky,2005,Video Production Workshop: DMA Series (DV Expert Series)Tom Wolsky
812,812,Red Hat Linux 9 Unleashed,"Bill Ball,Hoyt Duff",2003,"Red Hat Linux 9 UnleashedBill Ball,Hoyt Duff"
813,813,Implicit Meshes for Effective Silhouette Handling,"Slobodan Ilić,Mathieu Salzmann,Pascal Fua",2007,"Implicit Meshes for Effective Silhouette HandlingSlobodan Ilić,Mathieu Salzmann,Pascal Fua"
814,814,Applied Partial Differential Equations: : A Visual Approach,Peter A. Markowich,2006,Applied Partial Differential Equations: : A Visual ApproachPeter A. Markowich
815,815,"Struts: The Complete Reference, 2nd Edition, 2 edition",James Holmes,2006,"Struts: The Complete Reference, 2nd Edition, 2 editionJames Holmes"
816,816,MasteringActive Directory for WindowsServer 2003 R2 (Mastering),"Brad Price,John A. Price,Scott Fenstermacher",2006,"MasteringActive Directory for WindowsServer 2003 R2 (Mastering)Brad Price,John A. Price,Scott Fenstermacher"
817,817,Student Edition 1-80 with Office 2003 Student Manual,,2006,
818,818,Sex Offenders and the Internet,"D. H. Howitt,Kerry Sheldon",2007,"Sex Offenders and the InternetD. H. Howitt,Kerry Sheldon"
819,819,Efficient location area planning for personal communication systems,"Yigal Bejerano,Mark A. Smith,Joseph (Seffi) Naor,Nicole Immorlica",2006,"Efficient location area planning for personal communication systemsYigal Bejerano,Mark A. Smith,Joseph (Seffi) Naor,Nicole Immorlica"
820,820,"Microsoft SQL Server 2005: A Beginner''s Guide, 1 edition",Dusan Petkovic,2005,"Microsoft SQL Server 2005: A Beginner''s Guide, 1 editionDusan Petkovic"
821,821,"Database and Expert Systems Applications: 15th International Conference, DEXA 2004Zaragoza, Spain, August 30-September 3, 2004, Proceedings (Lecture Notes in Computer Science)","Fernando Galindo,Makoto Takizawa,Roland Traunmüller",2004,"Database and Expert Systems Applications: 15th International Conference, DEXA 2004Zaragoza, Spain, August 30-September 3, 2004, Proceedings (Lecture Notes in Computer Science)Fernando Galindo,Makoto Takizawa,Roland Traunmüller"
822,822,Rapid Prototyping and Engineering Applications (Dekker Mechanical Engineering),Frank W. Liou,2007,Rapid Prototyping and Engineering Applications (Dekker Mechanical Engineering)Frank W. Liou
823,823,Eloquent Images: Word and Image in the Age of New Media,"Mary E. Hocks,Michelle R. Kendrick",2005,"Eloquent Images: Word and Image in the Age of New MediaMary E. Hocks,Michelle R. Kendrick"
824,824,"Special Issue on the DARPA Grand Challenge, Part 2",,2006,
825,825,Introduction to Appleworks Gs/Book With 3.5 Disk,,1990,
826,826,Logistic regression using covariates obtained by product-unit neural network models,"César Hervás-Martínez,Francisco Martínez-Estudillo",2007,"Logistic regression using covariates obtained by product-unit neural network modelsCésar Hervás-Martínez,Francisco Martínez-Estudillo"
827,827,Bildverarbeitung für die Medizin 2006: Algorithmen - Systeme - AnwendungenProceedings des Workshops vom 19. - 21. März 2006 in Hamburg (Informatik aktuell),"Heinz Handels,Jan Ehrhardt,Alexander Horsch,Hans-Peter Meinzer,Thomas Tolxdoff",2007,"Bildverarbeitung für die Medizin 2006: Algorithmen - Systeme - AnwendungenProceedings des Workshops vom 19. - 21. März 2006 in Hamburg (Informatik aktuell)Heinz Handels,Jan Ehrhardt,Alexander Horsch,Hans-Peter Meinzer,Thomas Tolxdoff"
828,828,Supporting and Maintaining Windows 9x,,2003,
829,829,N3: Ninety-Nine Nights (Prima Official Game Guide),Fernando Bueno,2006,N3: Ninety-Nine Nights (Prima Official Game Guide)Fernando Bueno
830,830,IT security: in search of the Holy Grail,Rolf Oppliger,2007,IT security: in search of the Holy GrailRolf Oppliger
831,831,Sams Teach Yourself MySQL in 10 Minutes (Sams Teach Yourself),Chris Newman,2006,Sams Teach Yourself MySQL in 10 Minutes (Sams Teach Yourself)Chris Newman
832,832,"The Semantic Web: Research and Applications: 3rd European Semantic Web Conference, ESWC 2006Budva, Montenegro, June 11-14, 2006, Proceedings (Lecture Notes in Computer Science)","York Sure,John Domingue",2006,"The Semantic Web: Research and Applications: 3rd European Semantic Web Conference, ESWC 2006Budva, Montenegro, June 11-14, 2006, Proceedings (Lecture Notes in Computer Science)York Sure,John Domingue"
833,833,Neural Networks: Computational Models and Applications (Studies in Computational Intelligence),"Huajin Tang,Kay Chen Tan,Zhang Yi",2007,"Neural Networks: Computational Models and Applications (Studies in Computational Intelligence)Huajin Tang,Kay Chen Tan,Zhang Yi"
834,834,Windows Xp Optimizacion/ Windows Xp Power Optimization,John Paul Mueller,2006,Windows Xp Optimizacion/ Windows Xp Power OptimizationJohn Paul Mueller
835,835,Microsoft Office Excel 2003: Quick Course 1 (Briefcase Office 2003 Series),Judy Mardar,2004,Microsoft Office Excel 2003: Quick Course 1 (Briefcase Office 2003 Series)Judy Mardar
836,836,An experimental seminar on microprogramming and emulation,Louise H. Jones,1974,An experimental seminar on microprogramming and emulationLouise H. Jones
837,837,Successful Strategies in Supply Chain Management,"Chi-Kin Chan,H. W. J. Lee",2005,"Successful Strategies in Supply Chain ManagementChi-Kin Chan,H. W. J. Lee"
838,838,Crafting and Executing Strategy: Text and Readings with OLC with Premium Content Card (Strategic Management: Concepts and Cases),"Arthur A. Thompson, Jr.,A. J. Strickland, III,John E. Gamble",2006,"Crafting and Executing Strategy: Text and Readings with OLC with Premium Content Card (Strategic Management: Concepts and Cases)Arthur A. Thompson, Jr.,A. J. Strickland, III,John E. Gamble"
839,839,AJAX and PHP: Building Responsive Web Applications,"Cristian Darie,Bogdan Brinzarea",2006,"AJAX and PHP: Building Responsive Web ApplicationsCristian Darie,Bogdan Brinzarea"
840,840,MicroType Multimedia: CD-ROM Network: Macintosh,"Thomson South-Western Educational Publishing, d",1999,"MicroType Multimedia: CD-ROM Network: MacintoshThomson South-Western Educational Publishing, d"
841,841,The Packaging Designer's Book of Patterns,"Lászlo Roth,George L. Wybenga",2005,"The Packaging Designer's Book of PatternsLászlo Roth,George L. Wybenga"
842,842,"Computer And Intellectual Property Crime: Federal And State Law, 2005 Cumulative Supplement.",Scott A. Hugh,2005,"Computer And Intellectual Property Crime: Federal And State Law, 2005 Cumulative Supplement.Scott A. Hugh"
843,843,Micro Java Games Development,"Roman Verhovsek,David Fox",2002,"Micro Java Games DevelopmentRoman Verhovsek,David Fox"
844,844,Financing Online Search Serv,,2006,
845,845,Pro Tools Overdrive!,Matthew Donner,2005,Pro Tools Overdrive!Matthew Donner
846,846,Graphic Communication Higher SQA Past Papers,,2005,
847,847,Dynamic Designs And P.a.s.s. Software,Warren,2004,Dynamic Designs And P.a.s.s. SoftwareWarren
848,848,Ornamental Initials CD-ROM and Book (Electronic Clip Art),,2000,
849,849,Spline approximation of general volumetric data,"Christian Rössl,Frank Zeilfelder,Günther Nürnberger,Hans-Peter Seidel",2004,"Spline approximation of general volumetric dataChristian Rössl,Frank Zeilfelder,Günther Nürnberger,Hans-Peter Seidel"
850,850,MCITP Administrator: Microsoft SQL Server 2005 Database Server Infrastructure Design Study Guide (Exam 70-443),"J. Steven Jones,David W. Tschanz",2006,"MCITP Administrator: Microsoft SQL Server 2005 Database Server Infrastructure Design Study Guide (Exam 70-443)J. Steven Jones,David W. Tschanz"
851,851,The Online Customer: New Data Mining and Marketing Approaches,Yinghui Yang,2006,The Online Customer: New Data Mining and Marketing ApproachesYinghui Yang
852,852,Ottaviano Petrucci: A Catalogue Raisonne,Stanley Boorman,2005,Ottaviano Petrucci: A Catalogue RaisonneStanley Boorman
853,853,Best Mac Deal,"Derek Kueter,Roderico Cruz",1988,"Best Mac DealDerek Kueter,Roderico Cruz"
854,854,Pro Drupal Development,"John VanDyk,Matt Westgate",2007,"Pro Drupal DevelopmentJohn VanDyk,Matt Westgate"
855,855,"A Unified Framework for Video Summarization, Browsing & Retrieval: with Applications to Consumer and Surveillance Video","Ziyou Xiong,Regunathan Radhakrishnan,Ajay Divakaran,Yong Rui,Thomas S. Huang",2005,"A Unified Framework for Video Summarization, Browsing & Retrieval: with Applications to Consumer and Surveillance VideoZiyou Xiong,Regunathan Radhakrishnan,Ajay Divakaran,Yong Rui,Thomas S. Huang"
856,856,Research in Interactive Design: Proceedings of Virtual Concept 2005,"Xavier Fischer,Daniel Coutellier",2006,"Research in Interactive Design: Proceedings of Virtual Concept 2005Xavier Fischer,Daniel Coutellier"
857,857,"An Introduction to Computing Using Apple Works, Version 6 for Macintosh: Version 6",Bruce Presley,2000,"An Introduction to Computing Using Apple Works, Version 6 for Macintosh: Version 6Bruce Presley"
858,858,Uncertainty analysis in political forecasting,"Gleiber Fernandes Royes,Rogério Cid Bastos",2006,"Uncertainty analysis in political forecastingGleiber Fernandes Royes,Rogério Cid Bastos"
859,859,Project Portfolio Management: Leading the Corporate Vision,"Shan Rajegopal,James Waller,Philip McGuin",2007,"Project Portfolio Management: Leading the Corporate VisionShan Rajegopal,James Waller,Philip McGuin"
860,860,CCNP All-in-One Desk Reference for Dummies,J. F. DiMarzio,2003,CCNP All-in-One Desk Reference for DummiesJ. F. DiMarzio
861,861,"Declarative Programming for Knowledge Management: 16th International Conference on Applications of Declarative Programming and Knowledge Management, INAP ... Papers (Lecture Notes in Computer Science)","Masanobu Umeda,Armin Wolf,Oskar Bartenstein,Ulrich Geske,Dietmar Seipel,Osamu Takata",2007,"Declarative Programming for Knowledge Management: 16th International Conference on Applications of Declarative Programming and Knowledge Management, INAP ... Papers (Lecture Notes in Computer Science)Masanobu Umeda,Armin Wolf,Oskar Bartenstein,Ulrich Geske,Dietmar Seipel,Osamu Takata"
862,862,Medical Transcriptionist's Guide To Microsoft Word: Make It Your Own,Laura Bryan,2005,Medical Transcriptionist's Guide To Microsoft Word: Make It Your OwnLaura Bryan
863,863,Forum,Diane Crawford,2007,ForumDiane Crawford
864,864,HP NonStop Server Security: A Practical Handbook (HP Technologies),,2003,
865,865,Inside Blackcomb Networking,Tom Fout,2002,Inside Blackcomb NetworkingTom Fout
866,866,CompTIA Network+ Certification Kit (Exam N10-033),"David Groth,Toby Skandier,Bill Ferguson",2007,"CompTIA Network+ Certification Kit (Exam N10-033)David Groth,Toby Skandier,Bill Ferguson"
867,867,Evolutionary Algorithms for Solving Multi-Objective Problems (Genetic and Evolutionary Computation),"Carlos A. Coello Coello,Gary B. Lamont,David A. Van Veldhuizen",2006,"Evolutionary Algorithms for Solving Multi-Objective Problems (Genetic and Evolutionary Computation)Carlos A. Coello Coello,Gary B. Lamont,David A. Van Veldhuizen"
868,868,Public Key Cryptography - PKC 2005: 8th International Workshop on Theory and Practice in Public Key Cryptography (Lecture Notes in Computer Science),Serge Vaudenay,2005,Public Key Cryptography - PKC 2005: 8th International Workshop on Theory and Practice in Public Key Cryptography (Lecture Notes in Computer Science)Serge Vaudenay
869,869,The Lightning Framework for Smart Client,Paul Pleasant,2006,The Lightning Framework for Smart ClientPaul Pleasant
870,870,Projective reconstruction from line-correspondences in multiple uncalibrated images,"A. W. K. Tang,T. P. Ng,Y. S. Hung,C. H. Leung",2006,"Projective reconstruction from line-correspondences in multiple uncalibrated imagesA. W. K. Tang,T. P. Ng,Y. S. Hung,C. H. Leung"
871,871,Viewtiful Joe(tm) Red Hot Rumble / Viewtiful Joe(tm) Double Trouble Offi (Official Strategy Guides (Bradygames)),,2005,
872,872,The Book: The Life Story of a Technology (Greenwood Technographies),Nicole Howard,2005,The Book: The Life Story of a Technology (Greenwood Technographies)Nicole Howard
873,873,Adobe Premiere Elements 2.0 Illustrated (Illustrated Series),Mary-Terese Cozzola,2006,Adobe Premiere Elements 2.0 Illustrated (Illustrated Series)Mary-Terese Cozzola
874,874,Access Denied: How Internet Filters Impact Student Learning in High Schools,Lynn Sutton,2006,Access Denied: How Internet Filters Impact Student Learning in High SchoolsLynn Sutton
875,875,Mystat: Stat Applicatns Macintosh,Robert L. Hale,1997,Mystat: Stat Applicatns MacintoshRobert L. Hale
876,876,50 Ways to Make Google Love Your Web Site,Steve Johnston,2007,50 Ways to Make Google Love Your Web SiteSteve Johnston
877,877,SUSE Linux For Dummies Source Code DVD (For Dummies S.),Naba Barkakati,2006,SUSE Linux For Dummies Source Code DVD (For Dummies S.)Naba Barkakati
878,878,Erratum: Erratum to: Quickly tracing detection for spread spectrum watermark based on effect estimation of the affine transformation [Pattern Recognition 38 (12) 2530],"Guo-Rui Feng,Ling-Ge Jiang,Dong-Jian Wang,Chen He",2006,"Erratum: Erratum to: Quickly tracing detection for spread spectrum watermark based on effect estimation of the affine transformation [Pattern Recognition 38 (12) 2530]Guo-Rui Feng,Ling-Ge Jiang,Dong-Jian Wang,Chen He"
879,879,Using UML: Software Engineering with Objects and Components (2nd Edition) (Addison-Wesley Object Technology),Perdita Stevens,2006,Using UML: Software Engineering with Objects and Components (2nd Edition) (Addison-Wesley Object Technology)Perdita Stevens
880,880,A+ in Depth with Flash Cards,Jean Andrews,2004,A+ in Depth with Flash CardsJean Andrews
881,881,CASC,,2002,
882,882,"Elementary Greek: Koine for Beginners, Year One",Christine Gatchell,2005,"Elementary Greek: Koine for Beginners, Year OneChristine Gatchell"
883,883,Command & Conquer Generals: Zero Hour (Prima's Official Strategy Guide),Steve Honeywell,2003,Command & Conquer Generals: Zero Hour (Prima's Official Strategy Guide)Steve Honeywell
884,884,"Organized to Be Your Best! Transforming How You Work, Fifth Edition",Susan Silver,2006,"Organized to Be Your Best! Transforming How You Work, Fifth EditionSusan Silver"
885,885,Diseno Web/web Design: Elementos De Interfaz (Diseno Y Creatividad),Eric Eaton,2005,Diseno Web/web Design: Elementos De Interfaz (Diseno Y Creatividad)Eric Eaton
886,886,Microsoft .NET Framework 1.1 Class Library Reference Volume 5: System.Web,,2003,
887,887,SuSE Linux zum Nachschlagen.,Hans-Georg Eßer,2003,SuSE Linux zum Nachschlagen.Hans-Georg Eßer
888,888,Rediscovering secondary structures as network motifs---an unsupervised learning approach,"Barak Raveh,Ofer Rahat,Ronen Basri,Gideon Schreiber",2007,"Rediscovering secondary structures as network motifs---an unsupervised learning approachBarak Raveh,Ofer Rahat,Ronen Basri,Gideon Schreiber"
889,889,Supply Chain Management: Issues in the New Era of Collaboration and Competition,William Y. C. Wang,2007,Supply Chain Management: Issues in the New Era of Collaboration and CompetitionWilliam Y. C. Wang
890,890,Madden NFL 2001 for Eb (Prima's Official Strategy Guide),,2000,
891,891,Symbols and Signs: Explorations,Adrian Frutiger,1999,Symbols and Signs: ExplorationsAdrian Frutiger
892,892,"Mechanisms, Symbols, and Models Underlying Cognition: First International Work-Conference on the Interplay Between Natural and Artificial Computation, ... Part I (Lecture Notes in Computer Science)","José Mira,José R. Álvarez",2005,"Mechanisms, Symbols, and Models Underlying Cognition: First International Work-Conference on the Interplay Between Natural and Artificial Computation, ... Part I (Lecture Notes in Computer Science)José Mira,José R. Álvarez"
893,893,Red Hat Enterprise Linux Administration Unleashed,Tammy Fox,2007,Red Hat Enterprise Linux Administration UnleashedTammy Fox
894,894,Scattering and reflectance measurement,Julie Dorsey,2003,Scattering and reflectance measurementJulie Dorsey
