index,title,author,year
850,MCITP Administrator: Microsoft SQL Server 2005 Database Server Infrastructure Design Study Guide (Exam 70-443),"J. Steven Jones,David W. Tschanz",2006
851,The Online Customer: New Data Mining and Marketing Approaches,Yinghui Yang,2006
852,Ottaviano Petrucci: A Catalogue Raisonne,Stanley Boorman,2005
853,Best Mac Deal,"Derek Kueter,Roderico Cruz",1988
854,Pro Drupal Development,"John VanDyk,Matt Westgate",2007
855,"A Unified Framework for Video Summarization, Browsing & Retrieval: with Applications to Consumer and Surveillance Video","Ziyou Xiong,Regunathan Radhakrishnan,Ajay Divakaran,Yong Rui,Thomas S. Huang",2005
856,Research in Interactive Design: Proceedings of Virtual Concept 2005,"Xavier Fischer,Daniel Coutellier",2006
857,"An Introduction to Computing Using Apple Works, Version 6 for Macintosh: Version 6",Bruce Presley,2000
858,Uncertainty analysis in political forecasting,"Gleiber Fernandes Royes,Rogério Cid Bastos",2006
859,Project Portfolio Management: Leading the Corporate Vision,"Shan Rajegopal,James Waller,Philip McGuin",2007
860,CCNP All-in-One Desk Reference for Dummies,J. F. DiMarzio,2003
861,"Declarative Programming for Knowledge Management: 16th International Conference on Applications of Declarative Programming and Knowledge Management, INAP ... Papers (Lecture Notes in Computer Science)","Masanobu Umeda,Armin Wolf,Oskar Bartenstein,Ulrich Geske,Dietmar Seipel,Osamu Takata",2007
862,Medical Transcriptionist's Guide To Microsoft Word: Make It Your Own,Laura Bryan,2005
863,Forum,Diane Crawford,2007
864,HP NonStop Server Security: A Practical Handbook (HP Technologies),,2003
865,Inside Blackcomb Networking,Tom Fout,2002
866,CompTIA Network+ Certification Kit (Exam N10-033),"David Groth,Toby Skandier,Bill Ferguson",2007
867,Evolutionary Algorithms for Solving Multi-Objective Problems (Genetic and Evolutionary Computation),"Carlos A. Coello Coello,Gary B. Lamont,David A. Van Veldhuizen",2006
868,Public Key Cryptography - PKC 2005: 8th International Workshop on Theory and Practice in Public Key Cryptography (Lecture Notes in Computer Science),Serge Vaudenay,2005
869,The Lightning Framework for Smart Client,Paul Pleasant,2006
870,Projective reconstruction from line-correspondences in multiple uncalibrated images,"A. W. K. Tang,T. P. Ng,Y. S. Hung,C. H. Leung",2006
871,Viewtiful Joe(tm) Red Hot Rumble / Viewtiful Joe(tm) Double Trouble Offi (Official Strategy Guides (Bradygames)),,2005
872,The Book: The Life Story of a Technology (Greenwood Technographies),Nicole Howard,2005
873,Adobe Premiere Elements 2.0 Illustrated (Illustrated Series),Mary-Terese Cozzola,2006
874,Access Denied: How Internet Filters Impact Student Learning in High Schools,Lynn Sutton,2006
875,Mystat: Stat Applicatns Macintosh,Robert L. Hale,1997
876,50 Ways to Make Google Love Your Web Site,Steve Johnston,2007
877,SUSE Linux For Dummies Source Code DVD (For Dummies S.),Naba Barkakati,2006
878,Erratum: Erratum to: Quickly tracing detection for spread spectrum watermark based on effect estimation of the affine transformation [Pattern Recognition 38 (12) 2530],"Guo-Rui Feng,Ling-Ge Jiang,Dong-Jian Wang,Chen He",2006
879,Using UML: Software Engineering with Objects and Components (2nd Edition) (Addison-Wesley Object Technology),Perdita Stevens,2006
880,A+ in Depth with Flash Cards,Jean Andrews,2004
881,CASC,,2002
882,"Elementary Greek: Koine for Beginners, Year One",Christine Gatchell,2005
883,Command & Conquer Generals: Zero Hour (Prima's Official Strategy Guide),Steve Honeywell,2003
884,"Organized to Be Your Best! Transforming How You Work, Fifth Edition",Susan Silver,2006
885,Diseno Web/web Design: Elementos De Interfaz (Diseno Y Creatividad),Eric Eaton,2005
886,Microsoft .NET Framework 1.1 Class Library Reference Volume 5: System.Web,,2003
887,SuSE Linux zum Nachschlagen.,Hans-Georg Eßer,2003
888,Rediscovering secondary structures as network motifs---an unsupervised learning approach,"Barak Raveh,Ofer Rahat,Ronen Basri,Gideon Schreiber",2007
889,Supply Chain Management: Issues in the New Era of Collaboration and Competition,William Y. C. Wang,2007
890,Madden NFL 2001 for Eb (Prima's Official Strategy Guide),,2000
891,Symbols and Signs: Explorations,Adrian Frutiger,1999
892,"Mechanisms, Symbols, and Models Underlying Cognition: First International Work-Conference on the Interplay Between Natural and Artificial Computation, ... Part I (Lecture Notes in Computer Science)","José Mira,José R. Álvarez",2005
893,Red Hat Enterprise Linux Administration Unleashed,Tammy Fox,2007
894,Scattering and reflectance measurement,Julie Dorsey,2003
895,Xenosaga EPISODE II: Jenseits von Gut und Bose Official Strategy Guide (Signature),"David Cassidy,Laura Parkinson",2005
896,Essentials Microsoft Office XP Enhanced Color Edition,Lawrence C. Metzelaar,2003
897,"A Typographic Workbook: A Primer to History, Techniques, and Artistry","Kate Clair,Cynthia Busic-Snyder",2005
898,Indigo Prophecy (Prima Official Game Guide),"David Knight,Michael Knight",2005
899,Production For Graphic Designers 4th edition,Alan Pipes,2005
900,Internet nuggets,Mark Thorson,1998
901,Transactions on Rough Sets II: Rough Sets and Fuzzy Sets (Lecture Notes in Computer Science),"James F. Peters,Andrzej Skowron,Didier Dubois,Jerzy Grzymala-Busse,Masahiro Inuiguchi,Lech Polkowski",2005
902,The Complex Networks of Economic Interactions: Essays in Agent-Based Economics and Econophysics (Lecture Notes in Economics and Mathematical Systems),"Akira Namatame,Taisei Kaizouji,Yuuji Aruka",2006
903,A survey and comparison of CSCW groupware applications,"Jiten Rama,Judith Bishop",2006
904,"Windows Server 2003 Active Directory Infrastructure: Planning, Implementing and Maintaining (70-294) with Sticker Package",Kenneth C. Laudon,2004
905,Archiving Websites: A Practical Guide for Information Management Professionals,Adrian Brown,2006
906,50 Quick & Easy Math Computer Activites,Tammy Worcester,2006
907,Compiler Design,Santanu Chattopadhyay,2006
908,ECDL/ICDL 3.0 Made Simple (Made Simple Computer Series),,2002
909,ECDL/ICDL Syllabus 4 Module 5 Databases Using Access 2000 (ECDL),,2003
910,Adobe InDesign CS Design Professional,Chris Botello,2004
911,Programming in Haskell,Graham Hutton,2007
912,Color Image Segmentation for Objects of Interest with Modified Geodesic Active Contour Method,"Ling Pi,Jinsong Fan,Chaomin Shen",2007
913,Excel 5 for the Mac: The Visual Learning Guide,"Grace Joely Beatty,David C. Gardner",1995
914,Website to Accompany Engineering Programming: Solving Problems with Algorithms,Holloway,2006
915,Discrete Optimization Algorithms: with Pascal Programs (Dover Books on Mathematics),"Maciej M. Syslo,Narsingh Deo,Janusz S. Kowalik",2006
916,Research Strategies for a Digital Age,Bonnie L. Tensen,2006
917,Five Days To A Security Breakdown!,Rick Smith,2004
918,"Technology Strategies for Law Firms: Leading CTOs and CIOs on Defining Firm Expectations, Purchasing New Technologies & Working with Lawyers (Inside the Minds) (Inside the Minds)",,2006
919,Quicktime 3 & Movieplayer Pro (Visual QuickStart Guide),"Judith L. Stern,Robert Lettieri",1998
920,SAP SCM: Applications and Modeling for Supply Chain Management (with BW Primer),Daniel C. Wood,2007
921,DiagnosisPro 6.0 (Pocket PC Version plus a 64MB Flash Card),"Charles R. Meader,Hugo C. Pribor,Simon Kerendian",2005
922,Rapid and brief communication: An algorithm for semi-supervised learning in image retrieval,"Ke Lu,Jidong Zhao,Deng Cai",2006
923,Simulation analysis of an outpatient department of internal medicine in a university hospital,"A. K. Athula Wijewickrama,Soemon Takakuwa",2006
924,Apple Pro Training Series: Advanced Title 102,David Dvorin,2007
925,"CNET Do-It-Yourself Digital Home Office Projects, 1 edition",Sally Slack,2007
926,"New Perspectives on Information Systems Development: Theory, Methods and Practice","Hari Harindranath,W. Gregory Wojtkowski,Joze Zupancic,Duska Rosenberg,Wita Wojtkowski,Stanislaw Wrycza,John A. A. Sillince",2002
927,A least-squares finite element formulation for unsteady incompressible flows with improved velocity-pressure coupling,J. P. Pontaza,2006
928,Communications Standard Dictionary,Martin H. Weik,1998
929,Red Hat Fedora Linux Secrets,Naba Barkakati,2005
930,Chroma Key Using a Checker Pattern Background,"Hiroki Agata,Atsushi Yamashita,Toru Kaneko",2007
931,"Intrusion and Malware Detection and Vulnerability Assessment: Second International Conference, DIMVA 2005, Vienna, Austria, July 7-8, 2005, Proceedings (Lecture Notes in Computer Science)","Klaus Julisch,Christopher Kruegel",2005
932,HTML Publishing on the Internet for Macintosh,,1996
933,SAP BW Reporting And Analysis,"Norbert Egger,Jean-Marie R. Fiechter,Jens Rohlf,Jorg Rose,Oliver Schruffer",2006
934,On Your Side-access 2002,Adrienne Tommy,2005
935,Advertising Now! Online,Julius Wiedemann,2007
936,Nonlinear Dynamics of Chaotic and Stochastic Systems: Tutorial and Modern Developments (Springer Series in Synergetics),"Vadim S. Anishchenko,Vladimir Astakhov,Alexander Neiman,Tatjana Vadivasova,Lutz Schimansky-Geier",2007
937,Heavy Metal Fakk2: Official Strategy Guide,Adam Cook,2000
938,Don't Get Taken Every Time: The Ultimate Guide to Buying or Leasing a Car in the Showroom or on the Internet,Remar Sutton,2007
939,"Coordination Models and Languages: 7th International Conference, COORDINATION 2005, Namur, Belgium, April 20-23, 2005, Proceedings (Lecture Notes in Computer Science)","Jean-Marie Jacquet,Gian Pietro Picco",2005
940,SASSY: a design for a scalable agent-based simulation system using a distributed discrete event infrastructure,"Maria Hybinette,Eileen Kraemer,Yin Xiong,Glenn Matthews,Jaim Ahmed",2006
941,Analysis of Variance in Statistical Image Processing,"Ludwik Kurz,M. Hafed Benteftifa",2006
942,Access / Access Hacks: Los Mejores Trucos / The Best Tricks,Ken Bluttman,2005
943,Office 2000 (Manuales Imprescindibles),Julian Casas,2005
944,"Oracle SQL Developer Handbook, 1 edition",Dan Hotka,2006
945,Donkey Kong 64 Pathways to Adventure,Jason R. Rich,2000
946,The LaTeX Book: A Guide for Documentation and Presentation,George Grätzer,2007
947,Causality information and fossil collection in timewarp simulations,"Malolan Chetlur,Philip A. Wilsey",2006
948,Automatic recognition of biological particles in microscopic images,"M. Ranzato,P. E. Taylor,J. M. House,R. C. Flagan,Y. LeCun,P. Perona",2007
949,El Gran Libro de Linux,,2006
950,Maclopedia: The Macintosh Hardware and Software Compendium,Jerry Daniels,1991
951,PC Magazine Guide Windows XP Media Center Edition 2005,Terry Ulick,2004
952,Digital Design,"P. Martegani,R. Montenegro,Paulo Martegani",2000
953,Prey Official Strategy Guide (Official Strategy Guides (Bradygames)) (Official Strategy Guides (Bradygames)),,2006
954,Hacking Windows Vista (ExtremeTech) (ExtremeTech),Steve Sinchak,2007
955,Shrek the Third Official Strategy Guide,,2007
956,Spreadsheet Tools for Engineers using Excel (Mcgraw-Hill's Best--Basic Engineering Series and Tools),Byron S. Gottfried,2005
957,Windows Server 2003 Security: A Technical Reference (Microsoft Windows Server System Series),Roberta Bragg,2005
958,Using GOstats to test gene lists for GO term association,"S. Falcon,R. Gentleman",2007
959,Gerenciamiento de Proyectos Utilizando Excel y Project,"Javier Garcia Fronti,Julian R. Salvarredy",2006
960,A microprogrammed virtual memory for Eclipse,Françoise d'Hautcourt-Carette,1977
961,Domain Decomposition Methods in Science and Engineering XVI (Lecture Notes in Computational Science and Engineering),"Olof Widlund,David Keyes",2007
962,How Computer Games Help Children Learn,"David Williamson Shaffer,James Paul Gee",2006
963,Knowledge Maintenance of Case-Based Reasoning Systems: The Siam Methodology (Dissertations in Artificial Intelligence),R. Roth-Berghofe,2003
964,Migrating from Microsoft Exchange 5.5 to Lotus Notes and Domino 6 (Ibm Redbooks.),Tommi Tulisalo,2003
965,2007/8 Directory of Employment-Related Sites on the Internet: For Recruiters and Job Seekers (Weddle's Directory of Employment Related Internet Sites for Recruiters and Job Seekers),Peter Weddle,2006
966,J.K. Lasser's Your 1991 Income Tax Software: Release 2 Macintosh,,1990
967,Programming in Visual Basic.Net 2005- Text Only,"Julia Case Bradley,Anita C. Millspaugh",2006
968,Command & Conquer Tiberian Sun W/Items Card for Babbages,,1999
969,The Berkeley DB Book,Himanshu Yadava,2007
970,Novel Materials and Methods for Display Technology,J. Hajto,2007
971,"Softwareentwicklung eingebetteter Systeme: Grundlagen, Modellierung, Qualitätssicherung (Xpert.press)",Peter Scholz,2007
972,Embedded Microcontrollers and Processor Design,Charles Greg Osborn,2007
973,GURPS Character Builder,,2002
974,A Project Manager's Guide to Passing the Project Management Exam,Brent W. Knapp,2006
975,The Art of the Game,,2004
976,The InDesign Effects Book,Ted LoCascio,2005
977,Crea Y Presenta Tu Portafolio Digital/creat And Present You Digital Portforlio (Diseno Y Creatividad),Cynthia L. Baron,2005
978,Controlled SQL query evolution for decision support benchmarks,Meikel Poess,2007
979,Introduction to Financial Technology (Complete Technology Guides for Financial Services),Roy S. Freedman,2006
980,Autodesk(R) Architectural Desktop 2004: Basics Through Advanced,"David A. Madsen,Ron Palma",2004
981,Einführung in die Technische Informatik - Aufgaben und Lösungen (Springers Lehrbücher der Informatik),"Gerhard-Helge Schildt,Wolfgang Kastner",2007
982,The Unofficial Guide to Outlook 2007 (Unofficial Guides),Marc Orchant,2007
983,Principles of Computational Fluid Dynamics,Pieter Wesseling,2000
984,"ExamInsight For MCP/MCSE Exam 70-294 Windows Server 2003 Certification: Planning, Implementing, and Maintaining a Microsoft Windows Server 2003 Active ... (With Download Exam) Second Edition",Deborah Timmons,2005
985,Learning Business Statistics With Microsoft Excel 2003,John Neufeld,2004
986,Sas Companion for the Macintosh: Version 6,,1995
987,PHP y MySQL - Tecnologias Para El Desarrollo de Aplicaciones Web,"Angel Cobo,Patricia Gomez",2005
988,"SCJA - The Exam Questions Simulated - Hundreds of Mock Exam Questions and Expert Answers for the Sun Certified Java Associate Exam, from ExamScam.com - SCJA - The New, Pre - SCJP Certification",Cameron McKenzie,2006
989,Stanford emulation laboratory,Michael J. Flynn,1983
990,A new metric for measuring metamodels quality-of-fit for deterministic simulations,Husam Hamad,2006
991,Patterns for Computer-Mediated Interaction (Wiley Software Patterns Series),"Till Schummer,Stephan Lukosch",2007
992,Starshot: Official Strategy Guide,Prima Development,1999
993,Professional Microsoft Message Queuing Handbook,,2003
994,Photoshop CS (Guias Practicas Para Usuarios / Practical Guides for Users),Nicolas Sanchez-biezma,2005
995,Pokemon Gold and Silver (Prima's Official Strategy Guide),,2000
996,"New Perspectives on DOS, Third Edtion (Longhorn), Brief","Harry L. Phillips,Eric Skagerberg",2007
997,Event overview,,2006
